Wrong	Error	Correction
She don't like pizza.	Subject-Verb Agreement	She doesn’t like pizza.
They was happy with the results.	Subject-Verb Agreement	They were happy with the results.
There is many books on the table.	Subject-Verb Agreement	There are many books on the table.
I can speaks French.	Subject-Verb Agreement	I can speak French.
We was waiting for the bus.	Subject-Verb Agreement	We were waiting for the bus.
He don’t know the answer.	Subject-Verb Agreement	He doesn’t know the answer.
She walk to the park every day.	Subject-Verb Agreement	She walks to the park every day.
The team were excited about the game.	Subject-Verb Agreement	The team was excited about the game.
There is several reasons for this.	Subject-Verb Agreement	There are several reasons for this.
He don’t like apples.	Subject-Verb Agreement	He doesn’t like apples.
We was supposed to be there.	Subject-Verb Agreement	We were supposed to be there.
They was not at the party.	Subject-Verb Agreement	They were not at the party.
She don’t have a car.	Subject-Verb Agreement	She doesn’t have a car.
There are a lot of people here.	Subject-Verb Agreement	There are a lot of people here.
He like to read books.	Subject-Verb Agreement	He likes to read books.
The cats is playing outside.	Subject-Verb Agreement	The cats are playing outside.
I don’t know where she is.	Subject-Verb Agreement	I don’t know where she is.
She were late to the meeting.	Subject-Verb Agreement	She was late to the meeting.
There is a mistake in this document.	Subject-Verb Agreement	There is a mistake in this document.
They is coming over later.	Subject-Verb Agreement	They are coming over later.
The book are on the table.	Subject-Verb Agreement	The book is on the table.
He don’t want to go.	Subject-Verb Agreement	He doesn’t want to go.
She were at the office yesterday.	Subject-Verb Agreement	She was at the office yesterday.
There is a few issues with the report.	Subject-Verb Agreement	There are a few issues with the report.
They was not aware of the change.	Subject-Verb Agreement	They were not aware of the change.
I don’t understand why she don’t come.	Subject-Verb Agreement	I don’t understand why she doesn’t come.
The students is excited for the trip.	Subject-Verb Agreement	The students are excited for the trip.
She don’t think it’s right.	Subject-Verb Agreement	She doesn’t think it’s right.
There is a lot of work to be done.	Subject-Verb Agreement	There is a lot of work to be done.
The dog run fast.	Subject-Verb Agreement	The dog runs fast.
They doesn’t want to leave.	Subject-Verb Agreement	They don’t want to leave.
The project were completed on time.	Subject-Verb Agreement	The project was completed on time.
There is no reason to worry.	Subject-Verb Agreement	There is no reason to worry.
The children plays outside every day.	Subject-Verb Agreement	The children play outside every day.
He don’t have enough time.	Subject-Verb Agreement	He doesn’t have enough time.
They was invited to the wedding.	Subject-Verb Agreement	They were invited to the wedding.
The city are beautiful.	Subject-Verb Agreement	The city is beautiful.
I was late because the traffic was bad.	Subject-Verb Agreement	I was late because the traffic was bad.
The company are expanding their services.	Subject-Verb Agreement	The company is expanding their services.
There is many people who want to join.	Subject-Verb Agreement	There are many people who want to join.
The car need repair.	Subject-Verb Agreement	The car needs repair.
She don’t like the new policy.	Subject-Verb Agreement	She doesn’t like the new policy.
The group are meeting tomorrow.	Subject-Verb Agreement	The group is meeting tomorrow.
He don’t understand the problem.	Subject-Verb Agreement	He doesn’t understand the problem.
The restaurant are closing early today.	Subject-Verb Agreement	The restaurant is closing early today.
She go to the gym regularly.	Subject-Verb Agreement	She goes to the gym regularly.
The information are accurate.	Subject-Verb Agreement	The information is accurate.
They is planning a trip.	Subject-Verb Agreement	They are planning a trip.
She don’t want any help.	Subject-Verb Agreement	She doesn’t want any help.
There are no excuses for being late.	Subject-Verb Agreement	There are no excuses for being late.
The dog bark loudly at night.	Subject-Verb Agreement	The dog barks loudly at night.
They was excited about the trip.	Subject-Verb Agreement	They were excited about the trip.
She don’t have the answer.	Subject-Verb Agreement	She doesn’t have the answer.
The movie are interesting.	Subject-Verb Agreement	The movie is interesting.
