Wrong,Error,Correct,
She go to the store every day.,Subject-Verb Agreement,She goes to the store every day.,
They was happy with the results.,Subject-Verb Agreement,They were happy with the results.,
The cat have been sleeping all day.,Subject-Verb Agreement,The cat has been sleeping all day.,
He don't like the new policy.,Subject-Verb Agreement,He doesn't like the new policy.,
We was planning a surprise party.,Subject-Verb Agreement,We were planning a surprise party.,
The dogs runs in the park every morning.,Subject-Verb Agreement,The dogs run in the park every morning.,
She were not sure about the answer.,Subject-Verb Agreement,She was not sure about the answer.,
The team have completed the project.,Subject-Verb Agreement,The team has completed the project.,
He run to catch the bus.,Subject-Verb Agreement,He runs to catch the bus.,
The book are on the table.,Subject-Verb Agreement,The book is on the table.,
My friends has visited Paris.,Subject-Verb Agreement,My friends have visited Paris.,
She enjoy reading historical novels.,Subject-Verb Agreement,She enjoys reading historical novels.,
The teacher explain the lesson clearly.,Subject-Verb Agreement,The teacher explains the lesson clearly.,
The flowers was blooming beautifully.,Subject-Verb Agreement,The flowers were blooming beautifully.,
He have a new bicycle.,Subject-Verb Agreement,He has a new bicycle.,
The students was excited for the trip.,Subject-Verb Agreement,The students were excited for the trip.,
The movie were interesting to watch.,Subject-Verb Agreement,The movie was interesting to watch.,
She do her homework every evening.,Subject-Verb Agreement,She does her homework every evening.,
The children was playing in the yard.,Subject-Verb Agreement,The children were playing in the yard.,
He walk to work every day.,Subject-Verb Agreement,He walks to work every day.,
She don't know the answer.,Subject-Verb Agreement,She doesn't know the answer.,
The car need to be repaired.,Subject-Verb Agreement,The car needs to be repaired.,
They has a lot of books.,Subject-Verb Agreement,They have a lot of books.,
The bird sing every morning.,Subject-Verb Agreement,The bird sings every morning.,
She were late to the meeting.,Subject-Verb Agreement,She was late to the meeting.,
The boxes is heavy.,Subject-Verb Agreement,The boxes are heavy.,
The project are nearly complete.,Subject-Verb Agreement,The project is nearly complete.,
He was drive to work.,Subject-Verb Agreement,He was driving to work.,
The students does their homework on time.,Subject-Verb Agreement,The students do their homework on time.,
The dog were barking loudly.,Subject-Verb Agreement,The dog was barking loudly.,
She have a lot of friends.,Subject-Verb Agreement,She has a lot of friends.,
The chairs was uncomfortable.,Subject-Verb Agreement,The chairs were uncomfortable.,
He doesn't have any free time.,Subject-Verb Agreement,He doesn't have any free time.,
The company is growing rapidly.,Subject-Verb Agreement,The company is growing rapidly.,
They goes to the beach every summer.,Subject-Verb Agreement,They go to the beach every summer.,
