code,explain,other
"print(""Hello World"")",Print statement,None
print(5),Print statement,5
print(True),Print statement,TRUE
print(3.14),Print statement,3.14
"print(""Hello"", ""World"")",Print statement,"""Hello"", ""World"""
"print(""Result:"", 5 + 3)",Print statement,"5, 3"
"print(""Name:"", name)",Print statement,name
"print(""Items:"", lst)",Print statement,lst
"print(""Sum:"", sum(lst))",Print statement,"sum, lst"
"print(""Length:"", len(lst))",Print statement,"len, lst"
"print(""Max:"", max(lst))",Print statement,"max, lst"
"print(""Min:"", min(lst))",Print statement,"min, lst"
"print(""Mean:"", sum(lst)/len(lst))",Print statement,"sum, len, lst"
"print(""Upper:"", ""hello"".upper())",Print statement,"""hello"""
"print(""Lower:"", ""HELLO"".lower())",Print statement,"""HELLO"""
"print(""Slice:"", ""hello""[0:2])",Print statement,"""hello"""
"print(""Replace:"", ""hello"".replace('h', 'j'))",Print statement,"""hello"""
"print(""Title:"", ""hello world"".title())",Print statement,"""hello world"""
"print(""2+2="", 2+2)",Print statement,2
"print(""My age:"", 25)",Print statement,25
"print(""Is active:"", is_active)",Print statement,is_active
"print(""Price:"", 99.99)",Print statement,99.99
"print(""Coordinates:"", (10, 20))",Print statement,"(10, 20)"
"print(""Welcome"", ""to"", ""Python"")",Print statement,"""Welcome"", ""to"", ""Python"""
"print(""Area:"", 3.14 * r * r)",Print statement,"3.14, r"
"print(""Perimeter:"", 2 * 3.14 * r)",Print statement,"3.14, r"
"print(""Hello "" * 3)",Print statement,"""Hello"""
"print(""Path:"", ""/usr/bin/python"")",Print statement,"""/usr/bin/python"""
"print(""File size:"", 1024 * 1024, ""bytes"")",Print statement,1024
"print(""Math:"", 5**2)",Print statement,5
"print(""Binary:"", bin(10))",Print statement,10
"print(""Hex:"", hex(255))",Print statement,255
"print(""Name:"", first_name + "" "" + last_name)",Print statement,"first_name, last_name"
"print(""Today is"", day, month, year)",Print statement,"day, month, year"
"print(""Average:"", (a + b) / 2)",Print statement,"a, b"
"print(""Factorial:"", math.factorial(5))",Print statement,"math, 5"
"print(""Power:"", pow(2, 3))",Print statement,"2, 3"
"print(""Hello"", end=""!"")",Print statement,"""Hello"""
"print(""Rows:"", len(data))",Print statement,"len, data"
"print(""Columns:"", len(data[0]))",Print statement,"len, data[0]"
"print(""Fibonacci:"", fib(n))",Print statement,"fib, n"
"print(""Prime:"", is_prime(num))",Print statement,"is_prime, num"
"print(""Even numbers:"", [x for x in range(10) if x % 2 == 0])",Print statement,"range(10), x"
"print(""Odd numbers:"", [x for x in range(10) if x % 2 != 0])",Print statement,"range(10), x"
"print(""Square numbers:"", [x**2 for x in range(10)])",Print statement,"range(10), x"
"print(""Cube numbers:"", [x**3 for x in range(10)])",Print statement,"range(10), x"
"print(""Temperature:"", celsius, ""C"")",Print statement,celsius
"print(""Wind speed:"", wind_speed, ""km/h"")",Print statement,wind_speed
"print(""Humidity:"", humidity, ""%"")",Print statement,humidity
"print(""Day:"", weekday_name[day])",Print statement,"weekday_name, day"
"print(""Month:"", month_name[month])",Print statement,"month_name, month"
"print(""Leap year:"", is_leap_year(year))",Print statement,"is_leap_year, year"
"print(""Year:"", year)",Print statement,year
"print(""Centigrade:"", (fahrenheit - 32) * 5/9)",Print statement,fahrenheit
"print(""Fahrenheit:"", celsius * 9/5 + 32)",Print statement,celsius
"print(""Day of year:"", day_of_year(date))",Print statement,"day_of_year, date"
"print(""Unix timestamp:"", timestamp)",Print statement,timestamp
"print(""Formatted date:"", date.strftime(""%Y-%m-%d""))",Print statement,date
"print(""Uppercase:"", ""hello"".upper())",Print statement,"""hello"""
"print(""Lowercase:"", ""HELLO"".lower())",Print statement,"""HELLO"""
"print(""Titlecase:"", ""hello world"".title())",Print statement,"""hello world"""
"print(""Swapped case:"", ""HeLLo WoRLd"".swapcase())",Print statement,"""HeLLo WoRLd"""
"print(""Reversed:"", ""hello""[::-1])",Print statement,"""hello"""
"print(""Contains 'a':"", 'a' in ""apple"")",Print statement,"""apple"""
"print(""Starts with 'A':"", ""Apple"".startswith(""A""))",Print statement,"""Apple"""
"print(""Ends with 'z':"", ""buzz"".endswith(""z""))",Print statement,"""buzz"""
"print(""Joined:"", ""-"".join([""a"", ""b"", ""c""]))",Print statement,"[""a"", ""b"", ""c""]"
"print(""Split:"", ""a-b-c"".split(""-""))",Print statement,"""a-b-c"""
"print(""Count 'l':"", ""hello"".count(""l""))",Print statement,"""hello"""
"print(""Index of 'o':"", ""hello"".index(""o""))",Print statement,"""hello"""
"print(""Slice:"", ""hello""[1:3])",Print statement,"""hello"""
"print(""Replaced 'h' with 'y':"", ""hello"".replace(""h"", ""y""))",Print statement,"""hello"""
"print(""Length:"", len(""hello""))",Print statement,"""hello"""
"print(""Is digit:"", ""123"".isdigit())",Print statement,"""123"""
"print(""Is alpha:"", ""hello"".isalpha())",Print statement,"""hello"""
"print(""Is alnum:"", ""hello123"".isalnum())",Print statement,"""hello123"""
"print(""Is lower:"", ""hello"".islower())",Print statement,"""hello"""
"print(""Is upper:"", ""HELLO"".isupper())",Print statement,"""HELLO"""
